

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-10-03T22:41:38PDT



Main Information Table for All Sky, chosen by params


Redshift: Between 0.272000 and 0.273000 


Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
162|WISEA J005423.97+203213.1| 13.59991 |  20.53698 |G| 81553| 0.272031 |SLS |     |  0.000|0|0|18|3|1|0|0
163|WISEA J005426.85+123709.4| 13.61299 |  12.61921 |UvS| 81651| 0.272360 |SLS |     |  0.000|1|0|17|3|1|0|0
164|WISEA J005427.63+201246.6| 13.61515 |  20.21291 |G| 81788| 0.272814 |SLS |     |  0.000|0|0|18|3|1|0|0
165|WISEA J005431.11+122010.5| 13.63056 |  12.33570 |G| 81783| 0.272800 |SLS |     |  0.000|1|0|13|2|1|0|0
166|WISEA J005450.60+130531.1| 13.71077 |  13.09206 |G| 81810| 0.272890 |SLS |     |  0.000|1|0|13|2|1|0|0
167|SHELS J013.722275+13.006933| 13.72227 |  13.00693 |G| 81765| 0.272740 |SLS |     |  0.000|1|0|1|1|1|0|0
168|WISEA J005453.65+130035.3| 13.72337 |  13.00987 |G| 81574| 0.272100 |SLS |     |  0.000|1|0|13|2|1|0|0
169|WISEA J005454.77+130011.4| 13.72832 |  13.00324 |G| 81586| 0.272140 |SLS |     |  0.000|1|0|13|2|1|0|0
170|WISEA J005517.54+121421.3| 13.82295 |  12.23932 |G| 81592| 0.272160 |SLS |     |  0.000|1|0|13|2|1|0|0
171|SHELS J013.854310+13.275933| 13.85431 |  13.27593 |G| 81726| 0.272610 |SLS |     |  0.000|1|0|1|1|1|0|0
172|WISEA J005531.38+125334.7| 13.88088 |  12.89282 |G| 81759| 0.272720 |SLS |     |  0.000|1|0|13|2|1|0|0
173|WISEA J005555.51-373307.6| 13.98117 | -37.55217 |G| 81639| 0.272318 |SUN |     |  0.000|1|0|24|4|1|0|0
174|ABELL 0115:[GDW2019] 142| 13.99118 |  26.30037 |G| 81625| 0.272271 |SUN |     |  0.000|1|0|0|1|1|0|0
175|WISEA J005557.94+202622.7| 13.99148 |  20.43966 |G| 81752| 0.272695 |SLS |     |  0.000|0|0|18|3|1|0|0
176|ABELL 0115:[GDW2019] 145| 13.99259 |  26.30170 |G| 81715| 0.272572 |SUN |     |  0.000|1|0|0|1|1|0|0
177|WISEA J005603.44+124103.9| 14.01439 |  12.68442 |G| 81556| 0.272040 |SLS |     |  0.000|1|0|13|2|1|0|0
178|WISEA J005617.42+293731.2| 14.07254 |  29.62540 |G| 81680| 0.272456 |SLS |     |  0.000|0|0|18|3|1|0|0
179|WISEA J005631.51+123655.4| 14.13170 |  12.61556 |UvS| 81616| 0.272240 |SLS |     |  0.000|1|0|17|3|1|0|0
180|WISEA J005655.50-001449.8| 14.23141 |  -0.24724 |G| 81719| 0.272586 |SUN |21.3g|  0.000|1|0|28|4|2|4|0
181|WISEA J005708.19-722258.0| 14.28367 | -72.38278 |QSO| 81843| 0.273000 |UUN |21.4V|  0.000|5|0|34|4|1|0|0
182|WISEA J005716.82+122406.9| 14.32014 |  12.40192 |G| 81666| 0.272410 |SLS |     |  0.000|1|0|13|2|1|0|0
183|WISEA J005724.69+122505.1| 14.35321 |  12.41798 |G| 81580| 0.272120 |SLS |     |  0.000|1|0|13|2|1|0|0
184|WISEA J005733.22+044526.9| 14.38750 |   4.75720 |UvS| 81614| 0.272234 |SLS |     |  0.000|0|0|20|4|1|0|0
185|WISEA J005823.95+034519.6| 14.59985 |   3.75547 |G| 81642| 0.272327 |SLS |     |  0.000|0|0|18|3|1|0|0
186|WISEA J005906.08+024010.3| 14.77580 |   2.66909 |G| 81738| 0.272649 |SLS |     |  0.000|1|0|12|2|1|0|0
