

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-07-24T23:33:28PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
56|[FPS2012] DEEP_16327| 53.05888 | -27.80804 |G|2449305| 8.170000 |PUN |     |  0.000|1|0|0|1|2|0|0
57|[MDB2013] CGSD_010080| 53.05921 | -27.83525 |G|2431317| 8.110000 |PUN |     |  0.000|2|0|1|2|3|0|0
58|HRG14 J033214.47-275148.6| 53.06029 | -27.86347 |IrS|2455301| 8.190000 |PUN |     |  0.000|3|0|1|3|2|0|0
59|HRG14 J033216.44-274823.9| 53.06849 | -27.80665 |IrS|2446307| 8.160000 |PUN |     |  0.000|1|0|0|1|1|0|0
60|[MDB2013] CGSD_010023| 53.07046 | -27.86719 |G|2431317| 8.110000 |PUN |     |  0.000|2|0|2|3|4|0|0
61|CANDELS J033220.75-275132.9| 53.08647 | -27.85915 |G|2599201| 8.670000 |PUN |     |  0.000|4|0|1|3|3|0|0
62|CANDY 2209848535| 53.08729 | -27.81486 |IrS|2509263| 8.370000 |PUN |     |  0.000|9|0|13|9|3|0|0
63|HRG14 J033222.39-274835.6| 53.09327 | -27.80988 |IrS|2428319| 8.100000 |PUN |     |  0.000|1|0|0|1|1|0|0
64|[FPS2012] ERS_14920| 53.09736 | -27.72403 |G|2434315| 8.120000 |PUN |     |  0.000|1|0|0|1|2|0|0
65|ERS:[MDD2011] 09041| 53.09737 | -27.72403 |G|2404336| 8.020000 |PUN |     |  0.000|1|0|0|1|2|0|0
66|CANDY 2243349150| 53.10137 | -27.82083 |IrS|2548236| 8.500000 |PUN |     |  0.000|2|0|0|2|1|0|0
67|[BIO2015] GSDY 2245251330| 53.10217 | -27.85917 |G|2512261| 8.380000 |PUN |     |  0.000|1|0|1|1|1|0|0
68|CANDELS J033224.93-275325.9| 53.10390 | -27.89053 |G|2431317| 8.110000 |PUN |     |  0.000|5|0|15|3|1|0|0
69|CANDELS J033225.16-274157.5| 53.10483 | -27.69928 |G|2404336| 8.020000 |PUN |26.8H|  0.000|6|0|8|4|2|0|0
70|GSD J-2269746283| 53.11238 | -27.77453 |IrS|2967946| 9.900000 |PUN |     |  0.000|7|0|0|4|4|0|0
71|CANDELS J033226.97-274628.6| 53.11240 | -27.77469 |IrS|2967946| 9.900000 |PUN |     |  0.000|5|0|14|4|3|0|0
72|[MDB2013] CGSD_050276| 53.11579 | -27.75392 |G|2431317| 8.110000 |PUN |     |  0.000|2|0|1|2|3|0|0
73|[FPS2012] WIDE_01001| 53.12786 | -27.94195 |G|2524253| 8.420000 |PUN |     |  0.000|1|0|0|1|2|0|0
