

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2024-05-03T21:07:04PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
56|GND J-625464314|189.10612 |  62.24217 |G|3284826|10.957000 |S1L |25.8H|  0.000|36|0|1|10|9|0|0
57|GOODS J123652.97+621803.5|189.22070 |  62.30092 |VisS|3472450|11.582846 |SLS |24.8R|  0.000|7|0|18|5|9|0|0
58|GOODS-N:[SWM2014] 33036|189.25829 |  62.30921 |G|3268946|10.904028 |SLS |     |  0.000|1|0|0|1|2|0|0
59|GOODS-N:[SWM2014] 14332|189.27790 |  62.21254 |G|3009167|10.037499 |SLS |     |  0.000|1|0|0|1|2|0|0
60|MODS Kwide 10721|189.34110 |  62.32353 |VisS|3576955|11.931436 |SLS |26.0V|  0.000|3|0|0|3|6|0|0
61|[RMT2022] 1237+2544_0806|189.37490 |  25.74270 |G|3645477|12.160000 |PUN |     |  0.000|1|0|0|1|1|0|0
62|ABELL 1689:[SER2007] c1|197.88271 |  -1.34444 |G|3066877|10.230000 |S1L |     |  0.000|1|0|1|1|1|0|0
63|ABELL 1835:[PSR2004] 1916|210.25025 |   2.87892 |G|2998450|10.001750 |S1L |23.4K|  0.000|6|0|11|1|1|0|7
64|[RMT2022] 1413+0918_1405|213.20920 |   9.30070 |G|3165809|10.560000 |PUN |     |  0.000|1|0|0|1|1|0|0
65|[WES2023] EGS 07860|214.75267 |  52.83665 |G|3036898|10.130000 |PUN |     |  0.000|1|0|0|1|4|0|0
66|[HOO2023] CR3-z12-1|214.79629 |  52.82600 |G|3312707|11.050000 |PSE |     |  0.000|1|0|0|1|1|0|0
67|[WES2023] EGS 14506|214.80717 |  52.86236 |G|3210778|10.710000 |PUN |     |  0.000|1|0|0|1|4|0|0
68|[DMD2023] 006647|214.81113 |  52.81382 |G|3132832|10.450000 |PUN |     |  0.000|1|0|0|1|1|0|0
69|[DMD2023] 000622_4|214.81892 |  52.79649 |G|3378661|11.270000 |PUN |     |  0.000|1|0|0|1|1|0|0
70|[DMD2023] 005268_2|214.83200 |  52.89225 |G|3417634|11.400000 |PUN |     |  0.000|1|0|0|1|1|0|0
71|[DMD2023] 061486|214.84887 |  52.88361 |G|3342686|11.150000 |PUN |     |  0.000|1|0|0|1|1|0|0
72|[DMD2023] 003710|214.85012 |  52.80805 |G|3132832|10.450000 |PUN |     |  0.000|1|0|0|1|1|0|0
73|[HOO2023] CR2-z12-4|214.85358 |  52.88719 |G|3621493|12.080000 |PSE |     |  0.000|1|0|0|1|1|0|0
74|[ADF2023] MSA 0069|214.86158 |  52.90461 |G|3165809|10.560000 |PUN |     |  0.000|2|0|0|2|1|0|0
75|[DMD2023] 020976_4|214.90125 |  52.84699 |G|3132832|10.450000 |PUN |     |  0.000|1|0|0|1|1|0|0
76|[DMD2023] 021071_2|214.90300 |  52.92295 |G|3201784|10.680000 |PUN |     |  0.000|1|0|0|1|1|0|0
77|CANDELS J141937.65+525643.2|214.90689 |  52.94535 |G|3310609|11.043000 |S1L |     |  0.000|3|0|0|3|6|0|0
78|[DMD2023] 026409_4|214.91033 |  52.85503 |G|3567531|11.900000 |PUN |     |  0.000|1|0|0|1|1|0|0
79|[HOO2023] CR2-z12-3|214.92337 |  52.91878 |G|3495581|11.660000 |PSE |     |  0.000|1|0|0|1|1|0|0
80|[HOO2023] CR2-z12-2|214.92738 |  52.91167 |G|3585518|11.960000 |PSE |     |  0.000|1|0|0|1|1|0|0
81|CEERS J141946.36+525632.8|214.94317 |  52.94244 |G|3422431|11.416000 |S1L |     |  0.000|4|0|0|4|7|0|0
82|[DMD2023] 127682|214.99687 |  53.00593 |G|3417634|11.400000 |PUN |     |  0.000|1|0|0|1|1|0|0
83|[DMD2023] 120880|215.04400 |  52.99431 |G|3234761|10.790000 |PUN |     |  0.000|1|0|0|1|1|0|0
84|[STB2016] Anc 01128|215.95813 |  24.07701 |G|3078869|10.270000 |SUN |     |  0.000|2|0|0|2|1|0|0
85|[RMT2022] 1437+5043_0259|219.25110 |  50.71440 |G|3165809|10.560000 |PUN |     |  0.000|1|0|0|1|1|0|0
86|[RMT2022] 1442-0212_0245|220.52780 |  -2.20530 |G|3132832|10.450000 |PUN |     |  0.000|1|0|0|1|1|0|0
87|BoRG 2140+0241_0037|324.89390 |   2.67560 |G|3147821|10.500000 |PUN |     |  0.000|1|0|0|1|1|0|0
88|[HOO2023] S5-z16-1|339.01587 |  33.90464 |G|4919595|16.410000 |PSE |     |  0.000|1|0|0|1|1|0|0
89|[HOO2023] S5-z12-1|339.02800 |  34.00269 |G|3771390|12.580000 |PSE |     |  0.000|1|0|0|1|1|0|0
